Mon Jan 16 15:04:15 JST 2023,,,,,,,,,,,,,,,,,,,
SCE-5000_SEED(0),,,,,,,,,,,,,,,,,,,
VisitorId,sumWaitingTime,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],movingTime,travelTime,,,,,,,,,,,,
312,8983,0,1364,2933,4686,2600,12773,,-8983,,,,,,,,,,
313,15932,39,1609,2991,11293,2600,19742,,-15932,,,,,,,,,,
314,4319,75,192,2377,1675,2600,8119,,-4319,,,,,,,,,,
315,8695,0,1172,5740,1783,2600,12465,,-8695,,,,,,,,,,
316,19331,1247,5827,3750,8507,3800,24361,,-19331,,,,,,,,,,
317,9605,290,1406,4606,3303,2600,13405,,-9605,,,,,,,,,,
318,7485,5,915,2481,4084,2600,11335,,-7485,,,,,,,,,,
319,23129,1027,2889,17217,1996,3400,27719,,-23129,,,,,,,,,,
320,7434,263,360,2992,3819,3000,11624,,-7434,,,,,,,,,,
321,25004,1081,2978,18042,2903,3400,29594,,-25004,,,,,,,,,,
322,7693,551,2023,1770,3349,4200,13083,,-7693,,,,,,,,,,
323,8997,562,2635,4043,1757,5000,15177,,-8997,,,,,,,,,,
324,10713,0,1433,7496,1784,2600,14523,,-10713,,,,,,,,,,
325,3233,275,337,643,1978,2200,6643,,-3233,,,,,,,,,,
326,22695,1234,5875,4310,11276,3800,27725,,-22695,,,,,,,,,,
327,10900,873,2337,3822,3868,3800,15890,,-10900,,,,,,,,,,
328,2442,282,307,676,1177,2600,6262,,-2442,,,,,,,,,,
329,6972,47,645,3421,2859,3000,11182,,-6972,,,,,,,,,,
330,5123,0,1437,935,2751,2600,8923,,-5123,,,,,,,,,,
331,10318,564,2794,5089,1871,5000,16508,,-10318,,,,,,,,,,
332,13485,292,336,5382,7475,3400,18135,,-13485,,,,,,,,,,
333,3590,305,133,2424,728,2600,7380,,-3590,,,,,,,,,,
334,2159,0,356,1097,706,3000,6359,,-2159,,,,,,,,,,
335,9968,45,203,2160,7560,2600,13758,,-9968,,,,,,,,,,
336,6433,915,2461,1989,1068,2600,10193,,-6433,,,,,,,,,,
337,17956,914,3767,5973,7302,4200,23396,,-17956,,,,,,,,,,
338,10049,926,3763,3419,1941,3000,14229,,-10049,,,,,,,,,,
