Tue Jan 17 00:24:37 JST 2023,,,,,,,,,,,,,
SCE-5000_SEED(0),,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
253,152,291,2348,2282,5073,3400,9663,0.101830344,0.366258828,0.531910828,0,0,-6901.719681
254,166,1056,938,1802,3962,3400,8542,0.34558617,0.407990935,0.246422895,0,0,-4861.325952
255,0,215,2759,643,3617,2600,7417,0.350265605,0.614842006,0.034892389,0,0,-3124.296759
256,383,521,2023,7961,10888,2600,14688,0.440172097,0.34774386,0.212084042,0,0,-8811.818245
257,0,462,675,2556,3693,3000,7913,0.282988977,0.342164503,0.37484652,0,0,-5037.732315
258,201,0,510,1237,1948,2200,5358,0.668502638,0.308688307,0.022809055,0,0,-2103.568331
259,0,509,669,2748,3926,2600,7736,0.225219767,0.32021041,0.454569824,0,0,-5233.312024
260,0,35,585,1798,2418,3000,6588,0.091834315,0.106791821,0.801373864,0,0,-5821.881853
261,0,1017,2774,9056,12847,2600,16647,0.360483846,0.390751418,0.248764735,0,0,-9788.276209
262,379,575,2133,2018,5105,2600,8875,0.273318752,0.357475148,0.369206099,0,0,-5601.431748
